municipalityCode,municipalityName,score,candidateScore,title,url,snippet
21201,岐阜市,15,14,"岐阜市自治体マイナポイントによる生活者支援事業",https://www.city.gifu.lg.jp/info/seisaku/1006500/1025702/1039139.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,15,12,"",https://www.city.gifu.lg.jp/kosodate/kosodateshien/1003680/1003684.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,15,11,"夏休み親子市場見学会 抽選結果",https://www.city.gifu.lg.jp/business/nougyou/1005989/1027727/1030306.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,15,11,"令和8年度岐阜市男女共同参画優良事業者を募集します！",https://www.city.gifu.lg.jp/kurashi/jinken/1003438/1003491/1039160.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21203,高山市,15,14,"環境配慮事業所認証制度について",https://www.city.takayama.lg.jp/kurashi/1000024/1000130/1017921.html,"ord 97.0KB） チェックリスト（部門別） （Excel 54.0KB） Q&A （PDF 118.9KB） 申請の受付期間 申請の受付は毎年度3回で、受付期間は、1回目を4月1日から6月末日、2回目を7月1日から9月末日、3回目を10月1日から12月末日です。なお、認証の決定は、1回目を7月中、2回目を10月中、3回目を1月中を目安に実施します。 認証の有効期間 認証決定の日から3年間 実績報告 認証を受けた事業所は、毎年4月末"
21203,高山市,15,15,"保育園・幼稚園",https://www.city.takayama.lg.jp/kurashi/1000019/1020166/1000113/index.html,"令和8年度途中の入園） 保育料 延長保育 一時保育 休日保育 障がい児保育 幼稚園 幼稚園は、満3歳から小学校入学までの幼児の心身の発達を図り、集団生活に慣れさせることを目的とする教育施設です。 私立幼稚園 施設等利用給付認定について 令和元年10月から幼児教育・保育が無償化されました。無償化の対象となる幼稚園やサービスの利用にあたり、受ける必要のある認定についてご案内します。 保育士確保 保育ニーズの増加に対応するため、市全体における"
21204,多治見市,15,14,"防災士認証取得補助制度",https://www.city.tajimi.lg.jp/kurashi_tetsuduzuki/bosai_bohan/1005897/1005931/1005941.html,"域防災の担い手育成のために設けられた民間資格になります。防災士は、平時は防災に対する啓発活動、災害時には避難誘導や避難所運営などを行います。防災減災に関する知識と技能を有する方を増やすため、日本防災士機構認定資格「防災士」の資格取得について補助制度を創設します。 補助制度概要 防災士として市の防災減災活動に積極的に取り組んでいただける意思のある方に防災士認証取得費用の一部を補助します。 補助対象者 次の条件をすべて満たす方 多治見市内に"
21205,関市,15,12,"暮らしにエール商品券【第2弾】（せきpay・せきチケ）を給付します",https://www.city.seki.lg.jp/0000020774.html,"・生活 道路・河川 農林業 雇用・就労 ごみ・リサイクル 防犯・交通安全 消防 上下水道 税金 相談・補助制度 市民参加・協働 生涯学習 スポーツ 主な施設 交通・アクセス 地理情報（GIS） オープンデータ 公示送達 子ども・教育 関市子育てガイドブック 妊娠から出産 子育て 子育てへの助成 子どもと家庭の相談 教育の支援・相談 ひとり親家庭 保育園・幼稚園 小・中・高・大学校 関市地域クラブ 健康・福祉・医療 新型コロナウイルス 健"
21201,岐阜市,12,11,"子育て支援・手当・助成",https://www.city.gifu.lg.jp/kosodate/kosodateshien/index.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21205,関市,12,8,"防災関係補助金",https://www.city.seki.lg.jp/bousai/category/11-7-0-0-0-0-0-0-0-0.html,"防災関係補助金 | 関市役所公式ホームページ 共通メニューなどをスキップして本文へ 関市トップページへ 文字サイズ 標準 拡大 読み上げ利用方法 読み上げ Language 日本語 English Português 中文简体 中文繁體 한국어 close やさしいにほんご 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のまま文字サイ"
21201,岐阜市,11,12,"",https://www.city.gifu.lg.jp/,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,4,"高齢者・介護",https://www.city.gifu.lg.jp/tetsuzuki/koureisya/index.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,12,"くらし・手続き",https://www.city.gifu.lg.jp/kurashi/index.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,14,"健康・福祉",https://www.city.gifu.lg.jp/kenko/index.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,4,"後期高齢者医療制度",https://www.city.gifu.lg.jp/kenko/koukikoureisya/index.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,4,"指導監査",https://www.city.gifu.lg.jp/kenko/shidoukansa/index.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"官民連携の取組",https://www.city.gifu.lg.jp/info/seisaku/1006500/1024601/index.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,14,"よくある質問",https://www.city.gifu.lg.jp/shitsumon/index.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,15,"コンビニ交付サービス",https://www.city.gifu.lg.jp/kurashi/koseki/1001765/1001782.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"スマートフォン教室 受講者募集",https://www.city.gifu.lg.jp/kenko/koureisyafukushi/1004547/1029832.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"小児慢性特定疾病児童等自立支援事業について",https://www.city.gifu.lg.jp/kosodate/ninshin/1003549/1003563/1022951/1031756.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,5,"公の施設の指定管理者の募集または申請を開始します（令和8年7月15日～）",https://www.city.gifu.lg.jp/info/kaikaku/1008553/1033924.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"子ども一日食品衛生監視員になってみませんか？",https://www.city.gifu.lg.jp/kurashi/seikatukankyo/1002661/1012276/1027721.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"岐阜市地域包括支援センター運営業務委託事業者の募集について",https://www.city.gifu.lg.jp/kenko/koureisyafukushi/1004539/1022408.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"令和8年度市民後見人養成研修",https://www.city.gifu.lg.jp/kenko/koureisyafukushi/1004539/1039853.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"「就職に不安のある方のための支援事業」を開催します",https://www.city.gifu.lg.jp/kurashi/roudou/1003362/1040029.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"世界農業遺産GIAHS鮎の日記念 「鮎のつかみどりと放流体験」(令和8年度）",https://www.city.gifu.lg.jp/kankoubunka/event/1005304/1039663.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"「エエトコタント岐阜市」冊子デザイン制作等業務委託事業者選定に係る公募型プロポーザルについて",https://www.city.gifu.lg.jp/business/nyuusatsu/1005619/1039150/1039788.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"わくわく親子セミナーの参加者募集",https://www.city.gifu.lg.jp/kosodate/kyouikuiinkai/1004008/1032139.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"子ども虐待防止啓発のための「オレンジリボン絵てがみ」を募集します",https://www.city.gifu.lg.jp/kosodate/kosodateshien/1003631/1016604.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,5,"パートタイム会計年度任用職員（障がい者虐待防止相談）の募集について（令和8年9月1日以降採用予定）",https://www.city.gifu.lg.jp/info/jinji/1009093/1038259/1038262/1039530.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"ごみ処理有料化",https://www.city.gifu.lg.jp/info/seisaku/1006674/1038123/index.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,5,"化学物質過敏症について",https://www.city.gifu.lg.jp/kenko/kenkousoudan/1004477/1004480/1004482.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,11,"岐阜市ホームページ有料広告掲載の募集",https://www.city.gifu.lg.jp/info/kaikaku/1035576/1008403/1008408/1008409.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,11,12,"",https://www.city.gifu.lg.jp/index.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21202,大垣市,11,11,"若年単身者（学生・UJIターン）等の市営住宅入居募集について〜市営住宅コミュニティ活性化モデル事業〜",https://www.city.ogaki.lg.jp/0000067736.html,"おける地域コミュニティの活性化を目的として、自治会活動（清掃活動・除草等）へ積極的に参加していただくことを条件に、本来入居資格のない若年単身者等を対象とした入居募集を実施いたします。 本住宅は、民間のマンションやアパートと比べて家賃が比較的安価であることに加え、2DK・3DKなどゆとりのある間取りも魅力の一つとなっております。大学へも通いやすい立地にあり、学生の皆さまにも快適かつ便利にお住まいいただける住宅です。 皆さまのご入居を心より"
21203,高山市,11,11,"保育士確保の取り組み",https://www.city.takayama.lg.jp/kurashi/1000019/1020166/1000113/1012806.html,"Adobeのサイトからダウンロード（無償）してください。 Adobeのサイトへ新しいウィンドウでリンクします。 このページに関する お問い合わせ こども未来部 こども政策課 電話：0577-35-3140 ファクス：0577-35-4884 お問い合わせは専用フォームをご利用ください。 くらしの情報 こども 保育・幼児教育、託児サービス 保育園・幼稚園 幼児教育・保育の無償化 幼児教育・保育の無償化 保育園 入園基準 高山市内の保育園一"
