municipality,score,strong,hasAmount,hasTarget,hasDeadline,title,url,snippet
"袋井市","42","3","false","true","true","申請書などのダウンロード一覧","https://www.city.fukuroi.shizuoka.jp/shiseijoho/link/1425447036451.html","申請書などのダウンロード一覧／袋井市 スマートフォン版を表示 本文へ 音声読み上げ Select Language Português ：ポルトガル語 Việt ：ベトナム語 简体中文 ：中国語(簡体) 繁體中文 ：中国語(繁体) English ：英語 Español ：スペイン語 한국어 ：韓国語 日本語 ：日本語 Go ルビふり ルビをけす やさしい日本語 やさしい日本語をけす 組織から探す 文字 サイズ 背景色 変更 くらし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ 事業者向け 市政情報"
"袋井市","40","1","true","true","true","定額減税（調整給付金、不足額給付金）について","https://www.city.fukuroi.shizuoka.jp/juyo/12819.html","定額減税（調整給付金、不足額給付金）について／袋井市 スマートフォン版を表示 本文へ 音声読み上げ Select Language Português ：ポルトガル語 Việt ：ベトナム語 简体中文 ：中国語(簡体) 繁體中文 ：中国語(繁体) English ：英語 Español ：スペイン語 한국어 ：韓国語 日本語 ：日本語 Go ルビふり ルビをけす やさしい日本語 やさしい日本語をけす 組織から探す 文字 サイズ 背景色 変更 くらし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ 事業"
"下田市","36","3","false","false","true","子育て支援","https://www.city.shimoda.shizuoka.jp/category/040200kosodate_ouen/index.html","子育て支援 | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム 子育て・教育 子育て支援 子育て支援 コンテンツ 下田市高等学校等通学費補助制度のお知らせ 下田市こども家庭センター設置のお知らせ 子ども医療費助成制度 母子家庭等高等職業訓練促進給付金 下"
"裾野市","36","3","false","false","true","妊娠・出産","https://www.city.susono.shizuoka.jp/mokuteki/ninshin_shussan/index.html","妊娠・出産／裾野市 本文へ Select Language 文字サイズ変更 背景色変更 市の組織 よくある質問 お問い合わせ くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 Select Language メニュー くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 閉じる 現在の位置 裾野市公式ウェブサイト 目的で探す 妊娠・出産 妊娠・出産 妊娠・出産 パパママスクール(予約制) 母子健康手帳交付"
"下田市","34","2","true","false","true","下田市へ移住をお考えの方はこちら！","https://www.city.shimoda.shizuoka.jp/category/081800koryukyoju/111015.html","下田市へ移住をお考えの方はこちら！ | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム 市政 交流居住 下田市へ移住をお考えの方はこちら！ 下田市へ移住をお考えの方はこちら！ 目次 お知らせ アクセス Shimoda Life 資料請求 お知らせ 平日オ"
"下田市","32","2","false","true","true","新着情報／入札・契約","https://www.city.shimoda.shizuoka.jp/contents/newinfo/index.html","新着情報／入札・契約 | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム 新着情報／入札・契約 新着情報／入札・契約 新着情報 2026年7月13日 令和8年度下田市物価高騰対応重点支援給付金について 2026年7月8日 下財第226号 令和8年度 下田"
"下田市","32","2","false","true","true","新着情報／入札・契約","https://www.city.shimoda.shizuoka.jp/contents/newinfo/index.html","新着情報／入札・契約 | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム 新着情報／入札・契約 新着情報／入札・契約 新着情報 2026年7月13日 令和8年度下田市物価高騰対応重点支援給付金について 2026年7月8日 下財第226号 令和8年度 下田"
"下田市","32","2","false","true","true","転出届（市外へのお引越し）","https://www.city.shimoda.shizuoka.jp/category/kurashi_tetsuduki/157088.html","転出届（市外へのお引越し） | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム くらし・手続き 転出届（市外へのお引越し） 転出届（市外へのお引越し） 下田市内から他の市区町村や国外へお引越しをするときの手続です。 届出期間 新しい住所に住み始める日の1"
"下田市","32","2","false","true","true","転居届（市内でのお引越し）","https://www.city.shimoda.shizuoka.jp/category/kurashi_tetsuduki/157090.html","転居届（市内でのお引越し） | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム くらし・手続き 転居届（市内でのお引越し） 転居届（市内でのお引越し） 下田市内でお引越しをしたときの手続です。 届出期間 新しい住所に住み始めてから14日以内（未来の日付で"
"湖西市","32","2","false","true","true","","https://www.city.kosai.shizuoka.jp/kigyoshokai/index.html","モノづくり企業支援サイト／湖西市 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Multilingual HOME 支援 企業検索 企業PR お問い合わせ HOME 支援 企業検索 企業PR お問い合わせ 文字サイズ 背景色変更 Multilingual PCサイトを表示 閉じる 2026年07月08日 【相談無料】出張 ”モノづくりサポート” 企業を訪問して相談を受け付けます お知らせ 募集 2026年07月02日 中小企業向け「安全体感講座」受講者募集（湖西地域職業訓練センター） お知らせ 募集 セミ"
"御殿場市","32","2","false","true","true","","https://www.city.gotemba.lg.jp/gyousei/category/g-p-info/g-p-info-pap","広報ごてんば &#8211; 行政情報 Skip to content メニュー キーワードを入力して探す メニューから探す ホーム 防災･安全 くらし 健康･福祉 子育て 教育･文化 スポーツ 御殿場の魅力 産業･ビジネス 行政情報 よくある質問 文字サイズ・色合い変更 ホーム &nbsp;&gt; 行政情報 &gt; お知らせ &gt; 広報ごてんば 令和8年度 広報ごてんば一覧 07月05日 広報ごてんば7月5日号 2026年 ダウンロード: 広報ごてんば7月5日号【PDF :17MB】 特集 NEW OPE"
"裾野市","32","2","false","true","true","くらし・手続き","https://www.city.susono.shizuoka.jp/kurashi/index.html","くらし・手続き／裾野市 本文へ Select Language 文字サイズ変更 背景色変更 市の組織 よくある質問 お問い合わせ くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 Select Language メニュー くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 閉じる 現在の位置 裾野市公式ウェブサイト くらし・手続き くらし・手続き 新着情報 NEW! 現在、新着情報はございません。 届出"
"袋井市","32","2","false","true","true","暮らし・手続き","https://www.city.fukuroi.shizuoka.jp/kurashi_tetsuzuki/index.html","暮らし・手続き／袋井市 スマートフォン版を表示 本文へ 音声読み上げ Select Language Português ：ポルトガル語 Việt ：ベトナム語 简体中文 ：中国語(簡体) 繁體中文 ：中国語(繁体) English ：英語 Español ：スペイン語 한국어 ：韓国語 日本語 ：日本語 Go ルビふり ルビをけす やさしい日本語 やさしい日本語をけす 組織から探す 文字 サイズ 背景色 変更 くらし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ 事業者向け 市政情報 キーワード検"
"袋井市","32","2","false","true","true","市役所の組織と業務（令和8年度版）","https://www.city.fukuroi.shizuoka.jp/shiseijoho/gaiyo/1425447055565.html","市役所の組織と業務（令和8年度版）／袋井市 スマートフォン版を表示 本文へ 音声読み上げ Select Language Português ：ポルトガル語 Việt ：ベトナム語 简体中文 ：中国語(簡体) 繁體中文 ：中国語(繁体) English ：英語 Español ：スペイン語 한국어 ：韓国語 日本語 ：日本語 Go ルビふり ルビをけす やさしい日本語 やさしい日本語をけす 組織から探す 文字 サイズ 背景色 変更 くらし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ 事業者向け 市"
"下田市","30","1","true","true","true","下田市ふるさと応援寄附制度","https://www.city.shimoda.shizuoka.jp/category/080101furusato_kifu/121170.html","下田市ふるさと応援寄附制度 | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム 市政 まちづくり 下田市ふるさと寄附制度 下田市ふるさと応援寄附制度 下田市ふるさと応援寄附制度 目次 お知らせ 寄附の方法 制度概要 まちづくり 活用状況 協力企業 お知ら"
"下田市","30","1","true","true","true","令和8年度下田市物価高騰対応重点支援給付金について","https://www.city.shimoda.shizuoka.jp/category/kurashi_tetsuduki/159319.html","令和8年度下田市物価高騰対応重点支援給付金について | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム くらし・手続き 令和8年度下田市物価高騰対応重点支援給付金について 令和8年度下田市物価高騰対応重点支援給付金について 国の物価高騰対応重点支援地方創"
"下田市","30","1","true","true","true","令和8年度下田市物価高騰対応重点支援給付金について","https://www.city.shimoda.shizuoka.jp/category/kurashi_tetsuduki/159319.html","令和8年度下田市物価高騰対応重点支援給付金について | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム くらし・手続き 令和8年度下田市物価高騰対応重点支援給付金について 令和8年度下田市物価高騰対応重点支援給付金について 国の物価高騰対応重点支援地方創"
"御殿場市","30","1","true","true","true","","https://www.city.gotemba.lg.jp/kenkou/c-p-info/c-p-info-02/15673.html","ごてんば健康づくりの日のお知らせ &#8211; 健康・福祉・子育て Skip to content メニュー キーワードを入力して探す メニューから探す ホーム 防災･安全 くらし 健康･福祉 子育て 教育･文化 スポーツ 御殿場の魅力 産業･ビジネス 行政情報 よくある質問 文字サイズ・色合い変更 ホーム &nbsp;&gt; 健康・福祉・子育て &gt; お知らせ &gt; 無線放送 &gt; ごてんば健康づくりの日のお知らせ 健康・福祉・子育て ごてんば健康づくりの日のお知らせ 毎月10日は「ごてんば健康づ"
"裾野市","30","1","true","true","true","裾野市デジタル目安箱（市政への提案・意見）","https://www.city.susono.shizuoka.jp/soshiki/3/4/9/dejitarumeyasubako16931.html","裾野市デジタル目安箱（市政への提案・意見）／裾野市 本文へ Select Language 文字サイズ変更 背景色変更 市の組織 よくある質問 お問い合わせ くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 Select Language メニュー くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 閉じる 現在の位置 裾野市公式ウェブサイト 市の組織 市長戦略部 秘書広報課（秘書係） 広報・広聴 裾野"
"裾野市","30","1","true","true","true","","https://www.city.susono.shizuoka.jp/soshiki/3/3/ijuu/index.html","裾野市公式定住・移住情報サイト「裾野ぐらし」／裾野市 本文へ Select Language 文字サイズ変更 背景色変更 市の組織 よくある質問 お問い合わせ くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 Select Language メニュー くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 閉じる 現在の位置 裾野市公式ウェブサイト 市の組織 市長戦略部 秘書広報課（広報広聴係） 裾野市公式"
"袋井市","30","1","true","true","true","「手続きナビ」をご利用ください","https://www.city.fukuroi.shizuoka.jp/soshiki/ict/1/12298.html","「手続きナビ」をご利用ください／袋井市 スマートフォン版を表示 本文へ 音声読み上げ Select Language Português ：ポルトガル語 Việt ：ベトナム語 简体中文 ：中国語(簡体) 繁體中文 ：中国語(繁体) English ：英語 Español ：スペイン語 한국어 ：韓国語 日本語 ：日本語 Go ルビふり ルビをけす やさしい日本語 やさしい日本語をけす 組織から探す 文字 サイズ 背景色 変更 くらし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ 事業者向け 市政情"
"下田市","22","1","false","true","true","トップページ | 下田市","https://www.city.shimoda.shizuoka.jp/","トップページ | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ライフイベントから探す 妊娠・出産 子育て 学校教育 引越・住まい 就職・退職 結婚・離婚 高齢者 おくやみ よく利用されるメニュー 入札・契約 ごみ・リサイクル 証明・納税 国民年金 介護保険 "
"下田市","22","1","false","true","true","トップページ | 下田市","https://www.city.shimoda.shizuoka.jp/index.html","トップページ | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ライフイベントから探す 妊娠・出産 子育て 学校教育 引越・住まい 就職・退職 結婚・離婚 高齢者 おくやみ よく利用されるメニュー 入札・契約 ごみ・リサイクル 証明・納税 国民年金 介護保険 "
"下田市","22","1","false","true","true","下田市役所 各課のご案内","https://www.city.shimoda.shizuoka.jp/category/080700shiyakusyo_annai/110203.html","下田市役所 各課のご案内 | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム 市政 市役所案内 下田市役所 各課のご案内 下田市役所 各課のご案内 下田市役所の各課の電話番号・FAX・Eメール・業務内容等です。 目次 総務課 財務課 企画課 出納室 防災"
"下田市","22","1","false","true","true","友だち募集中！下田市LINE公式アカウント","https://www.city.shimoda.shizuoka.jp/category/010000bouhan_bousai/157258.html","友だち募集中！下田市LINE公式アカウント | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム くらし・手続き 防犯・防災 友だち募集中！下田市LINE公式アカウント 友だち募集中！下田市LINE公式アカウント 友だち募集中！下田市LINE公式アカウント"
"下田市","22","1","false","true","true","トップページ | 下田市","https://www.city.shimoda.shizuoka.jp/index.html","トップページ | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ライフイベントから探す 妊娠・出産 子育て 学校教育 引越・住まい 就職・退職 結婚・離婚 高齢者 おくやみ よく利用されるメニュー 入札・契約 ごみ・リサイクル 証明・納税 国民年金 介護保険 "
"下田市","22","1","false","true","true","友だち募集中！下田市LINE公式アカウント","https://www.city.shimoda.shizuoka.jp/category/kurashi_tetsuduki/157258.html","友だち募集中！下田市LINE公式アカウント | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム くらし・手続き 友だち募集中！下田市LINE公式アカウント 友だち募集中！下田市LINE公式アカウント 友だち募集中！下田市LINE公式アカウント 市民の皆さ"
"御殿場市","22","1","false","true","true","","https://www.city.gotemba.lg.jp/anzen/","防災・安全 Skip to content メニュー キーワードを入力して探す メニューから探す ホーム 防災･安全 くらし 健康･福祉 子育て 教育･文化 スポーツ 御殿場の魅力 産業･ビジネス 行政情報 よくある質問 文字サイズ・色合い変更 ホーム &nbsp;&gt; 防災・安全 防災・安全 防災・安全のお知らせ 一覧表示 2026年07月15日 令和8年度富士山火山防災情報伝達訓練実施のお知らせ 無線放送 NEW 2026年07月10日 夏の交通安全県民運動実施のお知らせ 無線放送 NEW 2026年06月"
"御殿場市","22","1","false","true","true","","https://www.city.gotemba.lg.jp/kurashi/","くらし Skip to content メニュー キーワードを入力して探す メニューから探す ホーム 防災･安全 くらし 健康･福祉 子育て 教育･文化 スポーツ 御殿場の魅力 産業･ビジネス 行政情報 よくある質問 文字サイズ・色合い変更 ホーム &nbsp;&gt; くらし くらし くらしのお知らせ 一覧表示 2026年07月13日 水生生物観察会に参加しよう! NEW 2026年07月10日 市営住宅入居者募集のお知らせ 無線放送 NEW 2026年07月08日 第22回御殿場市花壇コンクール参加者募集! 無"
"御殿場市","22","1","false","true","true","","https://www.city.gotemba.lg.jp/gyousei/","行政情報 Skip to content メニュー キーワードを入力して探す メニューから探す ホーム 防災･安全 くらし 健康･福祉 子育て 教育･文化 スポーツ 御殿場の魅力 産業･ビジネス 行政情報 よくある質問 文字サイズ・色合い変更 ホーム &nbsp;&gt; 行政情報 行政情報 行政情報のお知らせ 一覧表示 2026年07月09日 中心市街地活性化イベント「高校生が主催!御殿場駅前学園祭開催 」のお知らせ 無線放送 NEW 2026年07月08日 「GOTEMBA MIRAI PROJECT 2026"
